PLAYER_NAME,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG,TIME_REMAINING_SEC,EXPECTED_FG
Desmond Bane,Orlando Magic,4,3,42,Driving Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),4,34,33,0,222,0.5684702672042088
Nic Claxton,Brooklyn Nets,4,3,28,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,-23,8,1,208,0.5906668299609921
Ziaire Williams,Brooklyn Nets,4,3,13,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),3,-11,29,1,193,0.5783923130199481
Jalen Suggs,Orlando Magic,4,3,3,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),13,-102,84,1,183,0.46556223008622594
Nic Claxton,Brooklyn Nets,4,2,37,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,17,22,1,157,0.5883633629252943
Jalen Suggs,Orlando Magic,4,2,27,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-83,243,0,147,0.33053820153557534
Michael Porter Jr.,Brooklyn Nets,4,2,6,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),26,62,256,0,126,0.319952445942959
Tristan da Silva,Orlando Magic,4,1,49,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),26,108,244,1,109,0.3201461653991302
Nic Claxton,Brooklyn Nets,4,1,31,Driving Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),10,-100,24,0,91,0.4987960817078346
Franz Wagner,Orlando Magic,4,1,25,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-162,209,1,85,0.32058587813673156
Terance Mann,Brooklyn Nets,4,1,6,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),17,94,142,0,66,0.4157063700871842
Franz Wagner,Orlando Magic,4,0,45,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-99,239,1,45,0.3277126958107381
Michael Porter Jr.,Brooklyn Nets,4,0,29,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,227,56,0,29,0.3569872958439823
Nic Claxton,Brooklyn Nets,4,0,26,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,9,19,0,26,0.5842906705603773
Terance Mann,Brooklyn Nets,4,0,13,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,205,146,0,13,0.3320502345059102
Franz Wagner,Orlando Magic,4,0,3,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-168,210,0,3,0.3181585695230607
Paul Reed,Detroit Pistons,1,11,43,Layup Shot,2PT Field Goal,Restricted Area,Center(C),3,-5,31,1,703,0.6047903165292553
Trendon Watford,Philadelphia 76ers,1,11,26,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),5,1,50,1,686,0.5820237963215795
Duncan Robinson,Detroit Pistons,1,11,10,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-6,9,0,670,0.6257274370742865
Daniss Jenkins,Detroit Pistons,1,10,55,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24,36,247,1,655,0.3653750220166533
Ronald Holland II,Detroit Pistons,1,10,37,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),2,-5,25,1,637,0.6134910313761575
Kelly Oubre Jr.,Philadelphia 76ers,1,10,22,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-97,240,0,622,0.3543018700880709
Ronald Holland II,Detroit Pistons,1,10,11,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-83,243,0,611,0.3538453946749688
Tyrese Maxey,Philadelphia 76ers,1,9,58,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,114,227,1,598,0.3547154475071652
Kelly Oubre Jr.,Philadelphia 76ers,1,9,40,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),3,-12,31,0,580,0.6008653264311382
Daniss Jenkins,Detroit Pistons,1,9,33,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-164,196,0,573,0.3549237812071348
Paul Reed,Detroit Pistons,1,9,23,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),2,5,26,1,563,0.6111296233089267
Tyrese Maxey,Philadelphia 76ers,1,9,2,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),29,53,288,0,542,0.3108959592400182
Daniss Jenkins,Detroit Pistons,1,8,54,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,20,15,0,534,0.6108368772645285
Duncan Robinson,Detroit Pistons,1,8,37,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),26,25,268,1,517,0.34002927276246886
Tyrese Maxey,Philadelphia 76ers,1,8,14,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side Center(RC),17,135,108,0,494,0.44186600581520924
Trendon Watford,Philadelphia 76ers,1,8,7,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),3,-4,30,1,487,0.5979743810687458
Javonte Green,Detroit Pistons,1,7,38,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-157,209,0,458,0.34084386771967845
