PLAYER_NAME,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
Alex Caruso,Oklahoma City Thunder,1,2,27,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-186,178,1
Brandin Podziemski,Golden State Warriors,1,2,15,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),17,-97,147,0
Buddy Hield,Golden State Warriors,1,2,10,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,145,210,0
Ajay Mitchell,Oklahoma City Thunder,1,1,8,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-186,168,0
Alex Caruso,Oklahoma City Thunder,1,1,0,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),22,223,6,0
Isaiah Joe,Oklahoma City Thunder,1,0,51,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),10,44,100,0
Ajay Mitchell,Oklahoma City Thunder,1,0,32,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,-13,21,1
Moses Moody,Golden State Warriors,2,11,36,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),26,39,261,1
Jimmy Butler III,Golden State Warriors,2,11,4,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),22,-224,-2,0
Ajay Mitchell,Oklahoma City Thunder,2,10,47,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),9,-28,94,1
Moses Moody,Golden State Warriors,2,10,35,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24,156,192,0
Ajay Mitchell,Oklahoma City Thunder,2,10,27,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),23,-9,232,0
Quinten Post,Golden State Warriors,2,10,7,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24,-72,239,0
Alex Caruso,Oklahoma City Thunder,2,10,0,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),23,227,65,1
Brandin Podziemski,Golden State Warriors,2,9,47,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),18,120,146,0
Chet Holmgren,Oklahoma City Thunder,2,9,35,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),4,-20,38,1
Ousmane Dieng,Oklahoma City Thunder,2,9,1,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-224,118,1
Alex Caruso,Oklahoma City Thunder,2,8,58,Layup Shot,2PT Field Goal,Restricted Area,Center(C),3,-21,27,0
Ajay Mitchell,Oklahoma City Thunder,2,8,31,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),3,-21,32,0
Ajay Mitchell,Oklahoma City Thunder,2,8,1,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),2,20,12,0
Moses Moody,Golden State Warriors,2,7,55,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-173,168,0
Isaiah Hartenstein,Oklahoma City Thunder,2,7,38,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),4,-34,23,1
Jonathan Kuminga,Golden State Warriors,2,7,12,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,-9,8,1
Alex Caruso,Oklahoma City Thunder,2,7,0,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,9,10,1
Stephen Curry,Golden State Warriors,2,6,41,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),28,6,283,0
Stephen Curry,Golden State Warriors,2,6,31,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),23,-197,136,0
Will Richard,Golden State Warriors,2,6,7,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),23,-229,40,1
Jaylin Williams,Oklahoma City Thunder,2,5,52,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),1,13,12,1
